Authors,Author full names,Author(s) ID,Title,Link,Abstract,Publisher,title_key,source
"Abe, N.; Tsuji, S.","Abe, Norihiro (35511893400); Tsuji, Saburo (7401486519)",35511893400; 7401486519,A consulting system assisting naive users in decomposing and constructing a mechanical object,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021610309&partnerID=40&md5=2ecec410cdc6ba867f213780241c031d,"A new consulting system using a natural language and a graphical interface is under construction to assist a naive user in decomposing and constructing a mechanical object with cylindrical bodies. Many trouble shooting systems have been developed so far, but most of them do not tell us the way for decomposing the object to find out trouble points. This system is built to assist naive user in decomposing a mechanical object and in constructing it after repairation. It is difficult for a computer to give him a series of operations necessary for exposing a trouble point by using just simple command suquences, then an integrated instruction facility using a natural language and a visual interface must be offered to users for specifying what portion of the object should be decomposed or constructed at the next stage, and for verifying whether what the user have done to the object is correct or incorrect. The present art of computer vision cannot verify if an act taken by the user is correct or not at each step, because mechanical objects sometimes have involved structures. This system leaves this verification process to the user by showing him two perspective views of the objects, and an explanation on the operation which causes these two views before and after decomposition or construction. © 1984, SPIE.",,a consulting system assisting naive users in decomposing and constructing a mechanical object,Scopus
"Abedijaberi, A.; Eloe, N.; Leopold, J.","Abedijaberi, Armita (57190304212); Eloe, Nathan W. (55848699200); Leopold, Jennifer L. (9272100300)",57190304212; 55848699200; 9272100300,Interactive visualization of robustness enhancement in scale-free networks with limited edge addition (RENEA),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029601069&partnerID=40&md5=dbd3a75d812e57d4c9c922a28845f583,"Error tolerance and attack vulnerability of scale-free networks are usually used to evaluate the robustness of these networks. While new forms of attacks are developed everyday to compromise infrastructures, service providers are expected to develop strategies to mitigate the risk of extreme failures. Recently, much work has been devoted to design networks with optimal robustness, whereas little attention has been paid to improve the robustness of existing ones. Herein we present RENEA, a method to improve the robustness of a scale-free network by adding a limited number of edges. While adding an edge to a network is an expensive task, our system, during each iteration, allows the user to select the best option based on the cost, amongst all proposed ones. The edge-addition interactions are performed through a visual user interface while the algorithm is running. RENEA is designed based on the evolution of the network's largest component during a sequence of targeted attacks. Through experiments on synthetic and real-life data sets, we conclude that applying RENEA on a scale-free network while interacting with the user can significantly improve its attack survivability at the lowest cost.",Knowledge Systems Institute Graduate School office@ksi.edu,interactive visualization of robustness enhancement in scale-free networks with limited edge addition renea,Scopus
"Abidi, S.M.H.; Raza, S.M.; Park, J.; Shin, S.Y.","Abidi, Syed Murtaza Hussain (59912925500); Raza, Syed Muhammad (55549636800); Park, Jin-su (59151573600); Shin, Soo-young (57196376336)",59912925500; 55549636800; 59151573600; 57196376336,A Vision-Language-Driven UxV System for Safety Monitoring,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018739254&partnerID=40&md5=15600426044db351f39a4943dca070ca,"This paper present a Vision-Language Model (VLM)-driven unmanned vehicle (UxV) system designed for real-time safety monitoring in high-risk industrial environments such as construction and oil and gas operations. The proposed system integrates advanced computer vision and natural language processing (NLP) to generate context-aware textual descriptions of safety conditions. It employs unmanned aerial vehicles (UAVs) for wide-area surveillance and unmanned ground vehicles (UGVs) for close-range inspection, thereby enhancing spatial coverage and operational flexibility. To support VLM fine-tuning, a custom dataset comprising 2,000 safety-related images was developed, enabling dynamic hazard detection and assessment of regulatory compliance. Unlike conventional object detection methods, the system leverages zero-shot learning to facilitate rapid adaptation to new environments with minimal retraining. Preliminary evaluations indicate that the system-generated captions closely align with human annotations, demonstrating high interpretability and real-time applicability. The framework exhibits strong scalability, offering a proactive approach to hazard detection and safety compliance monitoring in complex industrial settings. © 2025 IEEE.",IEEE Computer Society,a vision-language-driven uxv system for safety monitoring,Scopus
"Abidi, S.M.H.; Raza, S.M.; Shin, S.Y.","Abidi, Syed Murtaza Hussain (59912925500); Raza, Syed Muhammad (55549636800); Shin, Soo-young (57196376336)",59912925500; 55549636800; 57196376336,SafeVision: Vision–language reasoning for context-aware safety monitoring,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025462932&partnerID=40&md5=80b45d75d4560b17f8aeed8aec347b54,"Safety compliance in high-risk industrial domains such as construction and mining remains a persistent challenge due to the complex interaction of workers, heavy machinery, and complex site conditions. Conventional computer vision methods can detect objects or classify activities but often lack the semantic reasoning needed for comprehensive safety assessment. This paper presents SafeVision, a unified vision–language framework for real-time, context-aware safety assessment. SafeVision integrates a frozen CLIP-ViT encoder with two complementary reasoning modules: the Scene-Aware Reasoner (SAR) for global environmental context understanding and Region-Focused Neural Reasoner (ReFiNER) for region-level safety compliance verification. A task-conditioned visual question answering component further enables natural language queries regarding hazards, personal protective equipment (PPE) usage, and operational conditions. To support deployment on resource-constrained platforms, SafeVision employs parameter-efficient Low-Rank Adaptation (LoRA), ensuring scalability without loss of interpretability. Experiments on a custom multimodal dataset of 10,000 annotated images demonstrate strong performance across multiple tasks, with SAR reaching 87.4 % accuracy in scene classification and the VQA component achieving BLEU-4 of 83.2 %, F1 of 84.6 %, Exact Match of 80.3 %, and METEOR of 82.5 %. Qualitative findings illustrate effective alignment between global scene understanding and localized reasoning, underscoring the potential of SafeVision for proactive safety monitoring in industrial environments. The source code and dataset are available at: https://github.com/Murtazaabidi1/SafeVision-Vision-Language-Reasoning-for-Context-Aware-Safety-Monitoring. © 2025",Elsevier B.V.,safevision visionlanguage reasoning for context-aware safety monitoring,Scopus
"Abu Hassan, M.F.; Pri, A.; Ahmad, Z.; Tuan Dir, T.M.A.","Abu Hassan, Mohd Fauzi (59455085000); Pri, Azurahisham Sah (56655189700); Ahmad, Zakiah (57212260913); Tuan Dir, Tengku Mohd Azahar (57189096933)",59455085000; 56655189700; 57212260913; 57189096933,A Study of the Region Covariance Descriptor: Impact of Feature Selection and Precise Localization of Target,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072856061&partnerID=40&md5=1fe3e04680eea00aee835c88201ce5e9,"In visual tracking, selecting the right image descriptors is critical. The popular version of descriptor is known as the covariance descriptor; however, no further studies is yet developed regarding the different methodologies for its construction. This study analyzes the contribution of diverse features of an image to the descriptor and their contribution to the detection of arbitrary targets in sequences of images, in our case: Boy, David3, Bolt and Walking2 in an image sequence. The methodology to determine the performance of the covariance matrix is defined from different sets of characteristics, and a specific combination of features is needed to develop a correlation between them. Finally, when an analysis is performed with the best set of features, F4 the target detection problem reached a performance of average, 0.77, From this experiment, it is believed that we have constructed a greater solution in choosing best features for this descriptor, allowing to move forward to the next issues such as using it on others datasets. © 2019, Springer Nature Switzerland AG.",Springer Verlag service@springer.de,a study of the region covariance descriptor impact of feature selection and precise localization of target,Scopus
"Achjadi, D.","Achjadi, Diyan (60236297600)",60236297600,The Space of Water,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024629850&partnerID=40&md5=9b58bd5a8e4004cc691b4e7f7d70c428,"Coming from Nusantara—which translates literally to the islands in between—the relationship between bodies of land and bodies of water is central to my understanding of place. My work in drawing and printmaking looks at accumulations of histories present in visual languages, seeking for traces of trade, exchange, and colonization within the decorative and the ornamental. The functions of water as simultaneously a border and terrestrial perimeter, as well as a passageway for trade, migration, and empire, are starting points in considering the ways that images and information travel, and the residues left behind through that process. In this illustrated text, I use the construction of fictionalized landscapes and intricate tableaus as a means to draw out connections and intersections between seemingly disparate locations and histories, alongside present-day ecological concerns.",Taylor and Francis,the space of water,Scopus
"Acosta, R.D.","Acosta, Ramón D. (7006577371)",7006577371,Specification prototyping of concurrent ADA programs in Dproto,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032567182&partnerID=40&md5=b3acfeab073bafd34bf5a8c627afefb6,"DProto is a computer-aided software engineering (CASE) system for rapidly prototyping concurrent applications. The environment supports codesign and analysis of high-level software and hardware architectures early in the system life cycle. DProto comprises a comprehensive tool set for editing hierarchical dataflow specifications, object-based data modeling, component reuse, resource modeling, user-interface prototyping, software/hardware allocation, interactive simulation, and code generation. This paper concentrates on the methodology and tools in DProto mat support a high-level executable specification language for rapid construction of prototypes and the Ada code generation facility for building target applications. Emphasis is placed on describing the concurrent modeling primitives of the visual specification language and their translation into multitasked Ada for carrying out implementation details. © 1992 ACM.","Association for Computing Machinery, Inc acmhelp@acm.org",specification prototyping of concurrent ada programs in dproto,Scopus
"Ádám, A.","Ádám, Anita (60244889300)",60244889300,RADIAL SECANTS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025111545&partnerID=40&md5=320436772c86d613bacd9646680cce58,"Symmetry is the universal law of nature, and abstract geometry is the visual language of its formal world. Thales' structural analysis of natural structures led to the extension of Thales’ theorem of parallel secants and secant segments to arcs. The pattern that emerges when applying the principle of construction to regular polygons involves the topology1 of the hypercube, a symbolic projection of higher spatial dimensions, the expression of which is central to my artistic endeavours. © 2024, Symmetrion. All rights reserved.",Symmetrion,radial secants,Scopus
"Addona, V.","Addona, Victoria (57190266740)",57190266740,The city as precarious medium in granducal Tuscany,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153480703&partnerID=40&md5=1d85de8e07605c2e4f23ca2c11b0b399,"This paper focuses on the concept of infrastructural precariousness in early seventeenth-century administrative drawings that document urban and natural environments by the architect-engineer Gherardo Mechini. Each drawing responds to a report produced for the granducal administration on broken property: walls, streets, and banks crumbling due to floods, fires, storms, vandalism, or, more often, cumulative destruction over time. In addition to illustrating the textual descriptions of ruined architecture in lucid coloured washes, Mechini often pasted sheets picturing his proposed restoration directly above each image. A user could make, unmake, and remake virtually the built environment by flipping the paper up and down. He further collaborated on a series of topographic maps to picture Tuscan roads and land holdings. In what follows, I examine the innovative graphic solutions adopted by Mechini to visualise the legislative management of Tuscany’s precarious infrastructure and policies informed by nascent theories connecting architectural preservation to ethical rule. Drawing emerged as an expressive administrative instrument to probe how to maintain and improve the built environment and promote the perceived stability and unity of the centralised governing state. © 2023 RIBA Enterprises.",Routledge,the city as precarious medium in granducal tuscany,Scopus
"Aditya, D.K.; Dewa Alit Dwija Putra, I.; Desintha, S.; Gusti Agung Rangga Lawe, I.; Kusmayanti, I.N.","Aditya, Dimas Krisna (60196939500); Dewa Alit Dwija Putra, I. (60196775500); Desintha, Siti (60197102200); Gusti Agung Rangga Lawe, I. (60197020400); Kusmayanti, Ima Normalia (60197020500)",60196939500; 60196775500; 60197102200; 60197020400; 60197020500,Reimagining Wacinwa: Transforming a Chinese Javanese Puppet Tradition into a Modular Visual Storytelling System through Wuxia Narrative; 保护 Wacinwa：通过武侠叙事将中爪木偶传统转化为视觉叙事系统,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021980211&partnerID=40&md5=6cfba6b1dd99128f36e8e03dc8a2f7e3,"This research reinterprets Wacinwa (Wayang China Jawa) – a hybrid Chinese-Javanese shadow puppetry tradition – not as a fixed performance art to be preserved, but as a modular visual storytelling system adaptable to contemporary narratives. Traditionally associated with the tale of Sie Djin Koei, Wacinwa has often been revived through reenactment (Kiswantoro, 2019). In contrast, this study explores how its visual form and construction methods can be reimagined through participatory design and narrative adaptation, using Dendam Membara, a wuxia novel by Kho Ping Hoo. Employing visual research methods and Hutcheon’s theory of adaptation (Hutcheon, 2006) and the ATUMICS framework (Nugraha 2019), the project examines how Wacinwa’s interchangeable puppet structure allows for the reinterpretation of new characters and scenes. Students were invited to design new puppets and compositions based on Kho Ping Hoo’s narratives, emphasizing themes of loyalty, justice, and cultural identity. The findings align with Hutcheon’s framework on visual storytelling, indicating that youth respond more actively when engaging with familiar media narratives and modular design systems. Rather than preserving Wacinwa in its original narrative form, this project proposes an adaptive transformation: repurposing its visual language as a contemporary platform that remains culturally resonant while expanding its narrative scope. © Dimas Krisna Aditya, 2025.",Brill Academic Publishers,reimagining wacinwa transforming a chinese javanese puppet tradition into a modular visual storytelling system through wuxia narrative 保护 wacinwa通过武侠叙事将中爪木偶传统转化为视觉叙事系统,Scopus
